timestamp,arrivalTime,ueAppAddress,ueAppPort,car,recv_packet_size(B),uplink_delay(s),Queueing_delay(s),processing_delay(s),idframe,nbSentMsg
3.7500010168,3.7500010168,10.0.4.48,4009,car[14],2000,0.0004992596,0,0.002,252,251
3.750502984,3.750502984,10.0.3.80,4009,car[10],2000,0.0000016996,0,0.002,252,251
3.751002984,3.751002984,10.0.3.136,4009,car[11],2000,0.0000016996,0,0.002,252,251
3.7520010168,3.7520010168,10.0.1.32,4009,car[0],2000,0.0004997324,0,0.002,252,251
3.756002984,3.756002984,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,253,252
3.7560046912,3.7560046912,10.0.2.168,4009,car[7],2000,0.0000016996,0,0.002,253,252
3.7560063984,3.7560063984,10.0.6.253,4009,car[19],2000,0.0000016996,0,0.002,53,52
3.756502984,3.756502984,10.0.1.88,4009,car[1],2000,0.0000016996,0,0.002,253,252
3.7565046912,3.7565046912,10.0.1.200,4009,car[3],2000,0.0000016996,0,0.002,253,252
3.7565063984,3.7565063984,10.0.3.24,4009,car[9],2000,0.0000016996,0,0.002,253,252
3.757002984,3.757002984,10.0.2.56,4009,car[5],2000,0.0000016996,0,0.002,253,252
3.7570046912,3.7570046912,10.0.3.192,4009,car[12],2000,0.0000016996,0,0.002,253,252
3.757502984,3.757502984,10.0.2.0,4009,car[4],2000,0.0000016996,0,0.002,253,252
3.7575046912,3.7575046912,10.0.2.224,4009,car[8],2000,0.0000016996,0,0.002,253,252
3.7580042184,3.7580042184,10.0.3.136,4009,car[11],2000,0.0000016996,0,0.002,253,252
3.758502984,3.758502984,10.0.4.216,4009,car[17],2000,0.0000016996,0,0.002,253,241
3.7585046912,3.7585046912,10.0.5.16,4009,car[18],2000,0.0000016996,0,0.002,253,252
3.759002984,3.759002984,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,253,252
3.7590046912,3.7590046912,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,253,252
3.7590063984,3.7590063984,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,253,252
3.7595010168,3.7595010168,10.0.2.112,4009,car[6],2000,0.0014997324,0,0.002,253,252
3.7600010168,3.7600010168,10.0.4.48,4009,car[14],2000,0.0004992596,0,0.002,253,252
3.760502984,3.760502984,10.0.3.80,4009,car[10],2000,0.0000016996,0,0.002,253,252
